Recipient,Supplier,Year of order, ,Number ordered,0.1,Weapon designation,Weapon description,Number delivered,0.2,Year(s) of delivery,status,Comments,SIPRI TIV per unit,SIPRI TIV for total order,SIPRI TIV of delivered weapons
BLR,Russia,2005,,4,?,S-300PS,SAM system,4,?,2006,Second hand,Second-hand; partly financed by Russia (possibly in return for Belarus deliveries of vehicles for Russian SS-27/Topol-M ICBM system),17,68,68
BLR,Russia,2021,?,2,?,S-400 Triumf,SAM system,2,?,2022; 2023,New,,65,130,130
BLR,Russia,2017,,12,,Su-30MK,FGA aircraft,4,,2019,New,Su-30SM version,55,660,220
BLR,Russia,2015,,25,,T-72B3,tank,25,?,2017; 2018; 2019,New,T-72B3M version,4,100,100
BLR,Russia,2009,?,8,?,Tor-M1,mobile SAM system,8,?,2011; 2012,New,Tor-M2 version,12.5,100,100
BLR,Russia,2012,?,4,,Tor-M1,mobile SAM system,4,,2013,New,Tor-M2 version,12.5,50,50
BLR,Russia,2013,?,4,,Tor-M1,mobile SAM system,4,,2017,New,Tor-M2 version,12.5,50,50
BLR,Russia,2020,?,6,?,Tor-M1,mobile SAM system,6,,2022,New,Tor-M2K version; incl production of components in Belarus,12.5,75,75
BLR,Russia,2017,,4,,Tor-M1,mobile SAM system,4,,2018,New,Tor-M2 version,12.5,50,50
BLR,Russia,2016,,39,?,vehicle engine,vehicle engine,39,?,2018; 2019,New,KAMAZ-7403 (260hp) diesel engine; for 39 modernization of BTR-70 APC to BTR-72MB1 version,0.03,1.17,1.17
BLR,Russia,2015,,4,,Yak-130,trainer/combat aircraft,4,,2016,New,,10.5,42,42
BLR,Russia,2015,,4,,Yak-130,trainer/combat aircraft,4,,2019,New,,10.5,42,42
BLR,Russia,2012,,4,,Yak-130,trainer/combat aircraft,4,?,2015,New,,8.1,32.4,32.4
BLR,Russia,2015,?,1,,Yak-52,trainer aircraft,1,,2015,Second hand,Second-hand; aid,0.08,0.08,0.08
BLR,Russia,2014,?,1,,Yak-52,trainer aircraft,0,,,Second hand,Second-hand,0.08,0.08,0
BLR,Ukraine,2012,,8,?,AI-222,turbofan,8,?,2015,New,For 4 Yak-130 trainer/combat aircraft from Russia,1.2,9.6,9.6
BLR,Ukraine,2005,,10,,L-39C Albatros,trainer aircraft,10,,2005; 2006,Second hand but modernized,Second-hand but probably modernized before delivery,2.97,29.7,29.7
BLR,Ukraine,2008,?,18,?,R-27R/T,BVRAAM,18,,2009,New,Possibly second-hand,0.19,3.42,3.42
EST,Belgium,2010,?,25,?,Mistral,portable SAM,25,?,2010,Second hand,Second-hand,0.04,0.9,0.9
EST,Bulgaria,1996,?,14,,PM-43 120mm,mortar,14,,1997,Second hand,Second-hand; designation uncertain,0.1,1.4,1.4
EST,Czechia,2005,,1,,VERA-E,air search system,1,,2005,New,CZK100 m ($4 m) deal,12,12,12
EST,Denmark,2000,,1,,Beskytteren,OPV,1,,2000,Second hand,Second-hand; aid; Estonian designation Pitka,18,18,18
EST,Denmark,1994,?,1,,Maagen,patrol craft,1,,1994,Second hand,Second-hand; Estonian designation Ahti,2.68,2.68,2.68
EST,Finland,2009,?,42,,D-30 122mm,towed gun,42,?,2009,Second hand,Second-hand; EUR2 m deal,0.14,5.88,5.88
EST,Finland,1992,,1,,Kemio,cargo ship,1,,1992,Second hand,Second-hand; incl for use as patrol craft and training ship,2,2,2
EST,Finland,1997,,19,,M-61/37 105mm,towed gun,19,,1997; 1998,Second hand,Second-hand; aid,0.18,3.42,3.42
EST,Finland,1994,,1,,Silma,OPV,1,,1995,Second hand,Second-hand; aid; Estonian designation Kou,5,5,5
